x_utm,y_utm,zone,longitude,latitude,BAEI.01_direct_path,BAEI.01_diffracted_path,BAEI.02_direct_path,BAEI.02_diffracted_path,BAEI.03_direct_path,BAEI.03_diffracted_path,BAEI.04_direct_path,BAEI.04_diffracted_path,BAEI.05_direct_path,BAEI.05_diffracted_path,BAEI.06_direct_path,BAEI.06_diffracted_path,BAIS.01_direct_path,BAIS.01_diffracted_path,BAIS.02_direct_path,BAIS.02_diffracted_path,BAIS.03_direct_path,BAIS.03_diffracted_path,BAIS.04_direct_path,BAIS.04_diffracted_path,BATI._direct_path,BATI._diffracted_path,lts_velocity_at5C,lts_azimuth,sigma_tau,apparent_over_true_velocity
436756.8956000004,6779035.4465,Kite,-148.1745552525025,61.140775114968605,3001.4310776487814,3001.4310776487814,3063.0583439665843,3063.0583439665843,3030.957959564909,3030.957959564909,2980.7591311924753,2980.7591311924753,2967.2261683049487,2967.2261683049487,3011.06646337595,3011.06646337595,2700.053753258707,2700.053753258707,2699.895142302816,2699.895142302816,2729.7092989156254,2729.7092989156254,2713.978703654928,2713.978703654928,113.44612079524568,113.64330822987233,0.3480013721256851,289.4376328611507,0.003177203634328311,1.0408700566365228
436890.82799999975,6779114.0013999995,Kite,-148.17209460060624,61.14150177467083,2898.8034342047545,2898.8034342047545,2962.4266316245853,2962.4266316245853,2932.436880451179,2932.436880451179,2882.212478479762,2882.212478479762,2866.265107219787,2866.265107219787,2910.646699008903,2910.646699008903,2720.6692333144283,2720.6692333144283,2717.8183694984023,2717.8183694984023,2749.7786652432314,2749.7786652432314,2733.2270699476408,2733.2270699476408,171.85509424007805,171.9556923194616,0.34749060683918126,292.0234670048208,0.0027927252831368775,1.0393423606695678
437005.2747999998,6779258.819200002,Kite,-148.17001765932068,61.14282002731822,2844.964277173518,2844.964277173518,2911.4450438249346,2911.4450438249346,2884.715959039522,2884.715959039522,2834.583938582676,2834.583938582676,2815.0364212530067,2815.0364212530067,2860.126979706479,2860.126979706479,2812.7060939785665,2813.884259614768,2807.264677323547,2808.3303046302135,2841.3160985285326,2842.423332485026,2823.96290772591,2825.0605420586926,313.66366527455403,317.6363858176101,0.3465130795239611,295.67764742523457,0.00253337698138494,1.0364185822208165
437136.9737,6779282.357999999,Kite,-148.16757998196982,61.1430524308569,2725.355806775117,2725.355806775117,2793.458827008897,2793.458827008897,2767.871009788673,2767.871009788673,2717.2085758682797,2717.2085758682797,2695.8764612888526,2695.8764612888526,2741.885275078972,2741.885275078972,2773.4770289946277,2773.480077718632,2765.675298498185,2765.6754813021635,2801.6764947735905,2801.6772408120514,2783.567172763521,2783.5677834226685,482.88586707187267,493.30817613940235,0.34217234456816215,297.1932926378769,0.0032877278644573363,1.0234354695058046
437159.88999999966,6779202.226599999,Kite,-148.16712790270722,61.142336854235104,2668.0328037599047,2668.0328037599047,2735.3271480613093,2735.3271480613093,2708.3473628489623,2708.3473628489623,2657.3100999737953,2657.3100999737953,2637.1997838048896,2637.1997838048896,2683.291061057987,2683.291061057987,2684.536415660119,2684.536415660119,2676.583095139818,2676.583095139818,2712.7070242403315,2712.7070242403315,2694.5485788373903,2694.5485788373903,502.2137786390243,511.9692299473606,0.34350351208516766,295.6282205961611,0.002619313605930112,1.0274169837175295
437370.45160000026,6778955.003799999,Kite,-148.16313646932778,61.14015148182757,2372.7513212263893,2372.7513212263893,2438.283918024329,2438.283918024329,2407.4365748773835,2407.4365748773835,2354.699214061514,2354.699214061514,2337.4121547614977,2337.4121547614977,2384.5467987123975,2384.5467987123975,2361.964766090569,2361.964766090569,2350.621831427569,2350.621831427569,2389.3168192835246,2389.3168192835246,2370.187042622606,2370.187042622606,824.3118845365824,829.9806809184421,0.3326718988769175,291.9142515782205,0.0030237307115007525,0.9950196923371255
437702.3362999996,6778468.224300001,Kite,-148.1568144574602,61.13583503268574,1967.5735079072313,1967.5735079072313,2024.3323675460606,2024.3598814418795,1983.9859743541397,1983.9864124545907,1929.5691269872689,1929.5692521130404,1921.8251430348012,1921.8251430348012,1968.8079270986482,1968.8178499281485,1813.094389469497,1813.094389469497,1794.438069470288,1794.438069470288,1837.7715704464254,1837.7715704464254,1817.027045943515,1817.027045943515,1473.9897131526598,1477.6004966294297,0.3224922569327501,281.6319638474981,0.005693596427441486,0.9645724431718598
436950.34609999973,6778554.2478,Kite,-148.1708034429406,61.13648708119312,2668.528858265011,2668.528858265011,2723.6236947272755,2723.6236947272755,2682.918856107971,2682.918856107971,2631.0137079652254,2631.0137079652254,2625.7324603627103,2625.7324603627103,2669.5162513310624,2669.5162513310624,2099.4847951190136,2099.4847951190136,2098.907515419583,2098.907515419583,2129.636120154755,2129.636120154755,2113.4534872265763,2113.4534872265763,725.8104148453942,728.0831476348853,0.337453266272749,280.1262547723294,0.003444256522066028,1.0093207340879085
436851.7887000004,6778590.6281,Kite,-148.17264526542422,61.136797779149695,2774.791517640794,2774.791517640794,2830.013008279193,2830.013008279193,2789.8808337677906,2789.8808337677906,2738.4074774822043,2738.4074774822043,2732.851234370829,2732.851234370829,2776.270731766721,2776.270731766721,2189.288888384939,2189.288888384939,2190.488160429407,2190.488160429407,2219.6193254978557,2219.6193254978557,2204.076778153965,2204.076778153965,632.5574862393332,634.5270800818915,0.3407168268419625,281.15148671948003,0.0034477685319613087,1.0190820245499674
436789.0822999999,6778667.6219999995,Kite,-148.17383506897463,61.13747876910818,2854.1508780028107,2854.1508780028107,2910.4517950863196,2910.4517950863196,2871.569119011446,2871.569119011446,2820.28373849906,2820.28373849906,2813.46444982495,2813.46444982495,2856.955694146403,2856.955694146403,2295.949362081014,2295.976528403374,2297.7697958223725,2297.778451978834,2326.3405413976748,2326.3557786039196,2311.0258954793435,2311.0392400089013,532.0520344706897,534.8171515638036,0.34291272606738643,281.99476899614274,0.0019111509511143022,1.0256499462141087
